lgd_state_code,lgd_district_code,lgd_state_name,lgd_district_name,soi_objectid,soi_state_lgd,soi_dist_lgd,soi_state_name,soi_district_name,match_method,confidence,verification_status
10,224,Bihar,Vaishali,807,10,220,BIHAR,Vaishali,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,462,Gujarat,Valsad,223,24,491,GUJARAT,VALSAD,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
33,596,Tamil Nadu,Viluppuram,730,33,607,TAMIL NADU,VILUPPURAM,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
28,520,Andhra Pradesh,Visakhapatnam,694,28,544,ANDHRA PRADESH,Visakhapatnam,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
28,521,Andhra Pradesh,Vizianagaram,695,28,543,ANDHRA PRADESH,Vizianagaram,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
7,85,Delhi,West,181,07,096,DELHI,WEST,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,440,Gujarat,Anand,193,24,482,GUJARAT,ANAND,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
28,502,Andhra Pradesh,Ananthapuramu,674,28,553,ANDHRA PRADESH,Ananthapuramu,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
21,344,Odisha,Anugul,152,21,384,ODISHA,ANUGUL,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,390,Madhya Pradesh,Anuppur,573,23,461,MADHYA PRADESH,ANUPPUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
10,188,Bihar,Araria,770,10,209,BIHAR,Araria,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
33,610,Tamil Nadu,Ariyalur,698,33,616,TAMIL NADU,ARIYALUR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,391,Madhya Pradesh,Ashoknagar,574,23,459,MADHYA PRADESH,ASHOKNAGAR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
9,124,Uttar Pradesh,Baghpat,277,09,139,UTTAR PRADESH,BAGHPAT,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
23,392,Madhya Pradesh,Balaghat,575,23,457,MADHYA PRADESH,BALAGHAT,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
8,775,Rajasthan,Balotra,494,08,785,RAJASTHAN,BALOTRA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,441,Gujarat,Banas Kantha,195,24,469,GUJARAT,BANAS KANTHA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
8,88,Rajasthan,Banswara,495,08,125,RAJASTHAN,BANSWARA,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
8,89,Rajasthan,Baran,496,08,128,RAJASTHAN,BARAN,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
21,347,Odisha,Bargarh,150,21,370,ODISHA,BARGARH,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
9,131,Uttar Pradesh,Basti,283,09,185,UTTAR PRADESH,BASTI,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
8,774,Rajasthan,Beawar,498,08,779,RAJASTHAN,BEAWAR,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
24,442,Gujarat,Bharuch,196,24,488,GUJARAT,BHARUCH,EXACT_STATE_DISTRICT_NAME,1.0,AUTO_MATCH_CANDIDATE
